ruleID	txid	organism	gene	nodeID	protein accession	HMM accession	nucleotide accession	ARO accession	mutation	variation type	gene context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	breakpoint condition	PMID	evidence code	evidence grade	evidence limitations	rule curation note
SHW0001	38313	s__Shewanella algae	blaOXA-55_fam	blaOXA-55_fam	WP_063864256.1	-	-	ARO:3001813	-	Gene presence detected	core	-	penicillin beta-lactam	wildtype	R	not applicable	CLSI M100 35th (2025) (Other non-Enterobacterales)	-	30809393, 15105119	ECO:0001091 knockout phenotypic evidence	high	-	Encodes an intrinsic class D β-lactamase (OXA-55) capable of hydrolyzing carbapenems and other β-lactams. Frequently located on plasmids or mobile genetic elements, this gene confers resistance to ampicillin, carbapenems, and other β-lactam antibiotics in Shewanella spp.
SHW0002	38313	s__Shewanella algae	blaOXA-55_fam	blaOXA-55_fam	WP_063864256.1	-	-	ARO:3001813	-	Gene presence detected	core	imipenem	-	wildtype	R	not available	CLSI M100 35th (2025) (Other non-Enterobacterales)	-	30809393, 15105119	ECO:0001091 knockout phenotypic evidence	high	-	Encodes an intrinsic class D β-lactamase (OXA-55) capable of hydrolyzing carbapenems and other β-lactams. Frequently located on plasmids or mobile genetic elements, this gene confers resistance to ampicillin, carbapenems, and other β-lactam antibiotics in Shewanella spp.
SHW0003	38313	s__Shewanella algae	sul1	sul1	WP_392374812	-	-	ARO:3000410	-	Gene presence detected	acquired	-	sulfonamide antibiotic	nonwildtype	R	not applicable	CLSI M100 35th (2025) (Other non-Enterobacterales)	-	34732312	ECO:0001103 natural variation mutant evidence	high	-	Encodes a sulfonamide-resistant dihydropteroate synthase, typically embedded within the 3′ conserved segment of class 1 integrons. Presence of sul1 confers resistance to sulfonamides such as sulfamethoxazole, often in combination with other resistance determinants.
SHW0004	38313	s__Shewanella algae	gyrA 	-	WP_425283034	-	-	-	p.Ser83Val	Protein variant detected	core	-	fluoroquinolone antibiotic	nonwildtype	R	not applicable	CLSI M100 35th (2025) (Other non-Enterobacterales)	-	32507618	ECO:0001113 point mutation phenotypic evidence	high	-	A core housekeeping gene encoding the A subunit of DNA gyrase, essential for DNA replication. Point mutations in the quinolone resistance-determining region (QRDR), such as S83V, reduce fluoroquinolone binding and confer resistance to quinolones including ciprofloxacin.
SHW0005	38313	s__Shewanella algae	qnrA	qnrA	-	-	NG_068040	-	-	Gene presence detected	core	-	fluoroquinolone antibiotic	wildtype	S	not applicable	CLSI M100 35th (2025) (Other non-Enterobacterales)	-	32507618	ECO:0000006 experimental evidence	low	lacks evidence for this species	The qnrA gene is identified as a core chromosomal component in S. algae (present in >95% of isolates). While qnrA homologs in Enterobacterales are well-documented to confer low-level quinolone resistance, current evidence suggests that in S. algae, this gene does not typically translate into a resistant phenotype. Its biological role in this species is hypothesized to be linked to physiological functions such as thermal adaptation rather than active antibiotic resistance. Therefore, while it is a genomic core feature, its presence alone should not be used as a definitive predictor of quinolone resistance in S. algae.
