ruleID	txid	organism	gene	nodeID	protein accession	HMM accession	nucleotide accession	ARO accession	mutation	variation type	gene context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	breakpoint condition	PMID	evidence code	evidence grade	evidence limitations	rule curation note
NMN0001	487	s__Neisseria meningitidis	unknown	-	-	-	-	-	-	-	core	trimethoprim	-	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	-	-	high	-	Wildtype resistance, but no mechanism described.
NMN0002	487	s__Neisseria meningitidis	farB	farB	WP_002224867.1	-	-	ARO:3003962	-	Gene presence detected	core	-	-	-	-	not applicable	-	-	10447892	ECO:0001103 natural variation mutant evidence	high	-	Core gene encoding an efflux pump. Relevance to antimicrobials lacks evidence.
NMN0003	487	s__Neisseria meningitidis	mtrC	mtrC	WP_002224968.1	-	-	ARO:3000810	-	Gene presence detected	core	-	-	-	-	not applicable	-	-	14500476	ECO:0001103 natural variation mutant evidence	high	-	Core gene encoding an efflux pump. Relevance to antimicrobials lacks evidence.
NMN0004	487	s__Neisseria meningitidis	norM	-	WP_003687823.1	-	-	-	-	Gene presence detected	core	-	-	-	-	not applicable	-	-	29891604	ECO:0001103 natural variation mutant evidence	high	-	Core gene encoding an efflux pump. Relevance to antimicrobials lacks evidence.
NMN0005	487	s__Neisseria meningitidis	mtrR	mtrR	WP_003693763.1	-	-	ARO:3000817	-	Gene presence detected	core	-	-	-	-	not applicable	-	-	7773394	ECO:0001103 natural variation mutant evidence	high	-	Core gene encoding an efflux pump. Relevance to antimicrobials lacks evidence.
