drugname,species,rule_id,rule_version,rule,original_rule,inferred,source
Norfloxacin,Enterococcus faecalis,AMRrules-EFC0035,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80603.1'))",efrC,Unknown (wildtype),AMRrules (PMID: 27381387)
Norfloxacin,Enterococcus faecalis,AMRrules-EFC0036,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80604.1'))",efrD,Unknown (wildtype),AMRrules (PMID: 27381387)
Ofloxacin,Enterococcus faecalis,AMRrules-EFC0037,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80603.1'))",efrC,Unknown (wildtype),AMRrules (PMID: 27381387)
Ofloxacin,Enterococcus faecalis,AMRrules-EFC0038,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80604.1'))",efrD,Unknown (wildtype),AMRrules (PMID: 27381387)
Gentamicin,Enterococcus faecalis,AMRrules-EFC0039,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80603.1'))",efrC,Susceptible (wildtype),AMRrules (PMID: 27381387)
Gentamicin,Enterococcus faecalis,AMRrules-EFC0040,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80604.1'))",efrD,Susceptible (wildtype),AMRrules (PMID: 27381387)
Minocycline,Enterococcus faecalis,AMRrules-EFC0041,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80603.1'))",efrC,Susceptible (wildtype),AMRrules (PMID: 27381387)
Minocycline,Enterococcus faecalis,AMRrules-EFC0042,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80604.1'))",efrD,Susceptible (wildtype),AMRrules (PMID: 27381387)
Tetracycline ,Enterococcus faecalis,AMRrules-EFC0043,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80603.1'))",efrC,Susceptible (wildtype),AMRrules (PMID: 27381387)
Tetracycline ,Enterococcus faecalis,AMRrules-EFC0044,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80604.1'))",efrD,Susceptible (wildtype),AMRrules (PMID: 27381387)
Rifampin,Enterococcus faecalis,AMRrules-EFC0045,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80603.1'))",efrC,Susceptible (wildtype),AMRrules (PMID: 27381387)
Rifampin,Enterococcus faecalis,AMRrules-EFC0046,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AAO80604.1'))",efrD,Susceptible (wildtype),AMRrules (PMID: 27381387)
Norfloxacin,Enterococcus faecalis,AMRrules-EFC0047,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AB091338.1'))",emeA,Unknown (wildtype),"AMRrules (PMID: 11709342, 11321571)"
Ciprofloxacin,Enterococcus faecalis,AMRrules-EFC0048,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AB091338.1'))",emeA,Susceptible (wildtype),AMRrules (PMID: 11321571)
Trimethoprim,Enterococcus faecalis,AMRrules-EFC0049,AMRrules-downloaded-2026-08-28,"(  contains_any(row.abritamr_accession_key,'AF028811.1'))",dfrE,Unknown (wildtype),AMRrules (PMID: 9869579)
