ruleID	txid	organism	gene	nodeID	protein accession	HMM accession	nucleotide accession	ARO accession	mutation	variation type	gene context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	breakpoint condition	PMID	evidence code	evidence grade	evidence limitations	rule curation note
KPN0001	573	s__Klebsiella pneumoniae	blaSHV	blaSHV	WP_419672855.1	-	-	ARO:3000015	-	Gene presence detected	core	-	penicillin beta-lactam	wildtype	R	not applicable	EUCAST Expected resistant phenotypes v1.2 (2023)	-	32284385	ECO:0001103 natural variation mutant evidence	high	-	"Wildtype core gene, all SHV alleles are expected to confer resistance to penicillins (penams), explaining the expected resistant to ampicillin. (Certain SHV alleles can also have expanded enzyme activity, and confer resistance to third-generation cephalosporins.)"
KPN0002	573	s__Klebsiella pneumoniae	oqxA	oqxA	WP_419141451.1	-	-	ARO:3003922	-	Gene presence detected	core	ciprofloxacin	-	wildtype	S	MIC <=0.25 mg/L	EUCAST v15.0 (2025)	-	30834112	ECO:0001103 natural variation mutant evidence	moderate	low clinical relevance, lacks evidence for this allele	"Wildtype core gene encoding an efflux pump. This efflux pump likely contributes to the ciprofloxacin MIC distribution in K. pneumoniae being shifted upwards compared to other Enterobacteriaceae, but it is not associated with clinical resistance in this species unless efflux activity is upregulated. (The specific alleles or mutations associated with upregulation of the efflux pump in K. pneumoniae are not well described.)"
KPN0003	573	s__Klebsiella pneumoniae	oqxB	oqxB	WP_419388593.1	-	-	ARO:3003923	-	Gene presence detected	core	ciprofloxacin	-	wildtype	S	MIC <=0.25 mg/L	EUCAST v15.0 (2025)	-	30834112	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this species	"Wildtype core gene encoding an efflux pump. This efflux pump likely contributes to the ciprofloxacin MIC distribution in K. pneumoniae being shifted upwards compared to other Enterobacteriaceae, but it is not associated with clinical resistance in this species unless efflux activity is upregulated. (The specific alleles or mutations associated with upregulation of the efflux pump in K. pneumoniae are not well described.)"
KPN0004	573	s__Klebsiella pneumoniae	fosA5_fam	fosA5_fam	WP_417645943.1	-	-	-	-	Gene presence detected	core	fosfomycin	-	wildtype	S	MIC <=128 mg/L	ECOFF (May 2025)	-	33128341	ECO:0001103 natural variation mutant evidence	moderate	lacks evidence for this species	"Wildtype core gene, not expected to confer multiple drug resistance unless mobilised under strong promoter (fosA5_family is the parent node for K. pneumoniae chromosomal fosA)"
KPN0005	573	s__Klebsiella pneumoniae	fosA5	fosA5	WP_012579083.1	-	-	ARO:3003209	-	Gene presence detected	core	fosfomycin	-	wildtype	S	MIC <=128 mg/L	ECOFF (May 2025)	-	25441705	ECO:0000012 functional complementation evidence	moderate	lacks evidence for this species	"Wildtype core gene, not expected to confer multiple drug resistance unless mobilised under strong promoter"
KPN0006	573	s__Klebsiella pneumoniae	fosA6	fosA6	WP_069174570.1	-	-	ARO:3004111	-	Gene presence detected	core	fosfomycin	-	wildtype	S	MIC <=128 mg/L	ECOFF (May 2025)	-	27261267	"ECO:0000012 functional complementation evidence, ECO:0000005 enzymatic activity assay evidence"	moderate	lacks evidence of the degree to which MIC is affected	"Wildtype core gene, not expected to confer multiple drug resistance unless mobilised under strong promoter"
KPN0007	573	s__Klebsiella pneumoniae	fosA10	fosA10	WP_004214174.1	-	-	-	-	Gene presence detected	core	fosfomycin	-	wildtype	S	MIC <=128 mg/L	ECOFF (May 2025)	-	32431524	ECO:0000012 functional complementation evidence	moderate	lacks evidence for this species	"Wildtype core gene, not expected to confer multiple drug resistance unless mobilised under strong promoter"
