ruleID	txid	organism	gene	nodeID	protein accession	HMM accession	nucleotide accession	ARO accession	mutation	variation type	gene context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	breakpoint condition	PMID	evidence code	evidence grade	evidence limitations	rule curation note
SAL0001	28901	s__Salmonella enterica	mdsA	mdsA	AE006468.2	-	-	ARO:3000789	-	Gene presence detected	core	chloramphenicol	-	wildtype	S	MIC <=16 mg/L	ECOFF (April 2025)	-	20497225	ECO:0000042 gain-of-function mutant phenotypic evidence	high	low clinical relevance	"Core gene in Salmonella although not conserved in typhoidal serovars. Efflux components MdsB and MdsC or TolC are also required for function. Chloramphenicol has been described as a substrate for efflux, but no evidence of clinical resistance associated with wildtype expression and this is not an expected resistance."
SAL0002	28901	s__Salmonella enterica	mdsB	mdsB	AE006468.2	-	-	ARO:3000790	-	Gene presence detected	core	chloramphenicol	-	wildtype	S	MIC <=16 mg/L	ECOFF (April 2025)	-	20497225	ECO:0000042 gain-of-function mutant phenotypic evidence	high	low clinical relevance	"Core gene in Salmonella although not conserved in typhoidal serovars. Efflux components MdsA and MdsC or TolC are also required for function. Chloramphenicol has been described as a substrate for efflux, but no evidence of clinical resistance associated with wildtype expression and this is not an expected resistance."
SAL0003	28901	s__Salmonella enterica	aac(6')-Iaa	aac(6')-Iaa	WP_000354865.1	-	-	ARO:3002571	-	Gene presence detected	core	-	aminoglycoside antibiotic	wildtype	R	not applicable	EUCAST Salmonella Expert Rules v3.2 (2019)	-	12679553	ECO:0000042 gain-of-function mutant phenotypic evidence	low	lacks evidence of the degree to which MIC is affected	"Core gene in Salmonella, with type 6_-N-aminoglycoside acetyltransferase activity (relevant to amikacin, tobramycin, kanamycin but not gentamicin). Although S. enterica wildtype MIC distributions do not exceed Enterobacterales breakpoints, EUCAST expert rules recommend always reporting Salmonella as resistant to aminoglycosides, because ""evidence from in vitro, animal models, and limited human treatment experience that aminoglycosides are ineffective in the treatment of invasive Salmonella infections"". The specific role of this gene in this clinical phenomenon has not been experimentally demonstrated and there is no evidence that lack of the gene would result in susceptibility."
