ruleID	txid	organism	gene	nodeID	protein accession	HMM accession	nucleotide accession	ARO accession	mutation	variation type	gene context	drug	drug class	phenotype	clinical category	breakpoint	breakpoint standard	breakpoint condition	PMID	evidence code	evidence grade	evidence limitations	rule curation note
PRM0001	584	s__Proteus mirabilis	tet(J)	tet(J)	WP_063856079.1	-	-	ARO:3000177	-	Gene presence detected	core	tetracycline	-	wildtype	R	not applicable	EUCAST Expected Resistant Phenotypes v1.2 (2023)	-	9838156	ECO:0001103 natural variation mutant evidence	high	-	"Wildtype core gene encoding a Major Facilitator Superfamily (MFS) efflux pump. This chromosomal determinant actively transports tetracycline from the cytoplasm using proton motive force, conferring intrinsic resistance to tetracycline and related compounds. The tet(J) system shows unique non-divergent transcription pattern unlike other tetracycline determinants and is regulated by a TetR repressor with tetracycline acting as inducer. Clinical isolates consistently show 100% resistance to tetracycline. (The specific regulatory mutations that might modulate efflux activity in clinical isolates are not well described.)"
PRM0002	584	s__Proteus mirabilis	catA	catA	WP_063843208.1	-	-	ARO:3004657 	-	Gene presence detected	core	chloramphenicol	-	wildtype	S	MIC <=32 mg/L	CLSI M100Ed35E (2025)	-	3900034	ECO:0005027 genetic transformation evidence	moderate	unknown clinical relevance	"No EUCAST breakpoints. Wildtype core gene encoding chloramphenicol acetyltransferase (CAT). This chromosomal gene catalyzes acetyl-CoA-dependent acetylation of chloramphenicol at the 3-hydroxyl group, preventing ribosomal binding. The catA gene exhibits a novel reversible resistance phenotype through phase variation involving an invertible promoter, where resistant colonies revert to sensitivity after approximately 150 generations without antibiotic pressure. (The specific molecular triggers and frequency of phase switching in clinical isolates are not well described.)"
PRM0003	584	s__Proteus mirabilis	unknown	-	-	-	-	-	-	-	core	polymyxin B	-	wildtype	R	not applicable	EUCAST Expected Resistant Phenotypes v1.2 (2023)	-	18316383, 20123999, 24756091	"ECO:0001103 natural variation mutant evidence, ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence, ECO:0000024 protein-binding evidence"	high	-	"Wildtype core genes encoding a multi-pathway LPS modification system that confers intrinsic resistance to polymyxins. The RppA/RppB two-component regulatory system (homologous to PmrA/PhoP systems) coordinates expression of the arnBCADTEF operon, pmrI, and eptC genes. These enzymes add L-Ara4N to lipid A phosphate groups and transfer phosphoethanolamine to both lipid A and core LPS (O-6 position of L-glycero-D-manno-heptose II), reducing net negative charge and preventing polymyxin binding while maintaining membrane integrity. Clinical isolates show 100% intrinsic resistance to both polymyxin B and colistin, with knockout studies demonstrating >10,000-fold increases in susceptibility when key components are inactivated. (The environmental signals that modulate RppA/RppB activity, relative contribution of each pathway component, and potential strain-to-strain variation in LPS modification efficiency are not well described.)"
PRM0004	584	s__Proteus mirabilis	unknown	-	-	-	-	-	-	-	core	colistin	-	wildtype	R	not applicable	EUCAST Expected Resistant Phenotypes v1.2 (2023)	-	18316383, 20123999, 24756091	"ECO:0001103 natural variation mutant evidence, ECO:0001091 knockout phenotypic evidence, ECO:0000012 functional complementation evidence, ECO:0000024 protein-binding evidence"	high	-	"Wildtype core genes encoding a multi-pathway LPS modification system that confers intrinsic resistance to polymyxins. The RppA/RppB two-component regulatory system (homologous to PmrA/PhoP systems) coordinates expression of the arnBCADTEF operon, pmrI, and eptC genes. These enzymes add L-Ara4N to lipid A phosphate groups and transfer phosphoethanolamine to both lipid A and core LPS (O-6 position of L-glycero-D-manno-heptose II), reducing net negative charge and preventing polymyxin binding while maintaining membrane integrity. Clinical isolates show 100% intrinsic resistance to both polymyxin B and colistin, with knockout studies demonstrating >10,000-fold increases in susceptibility when key components are inactivated. (The environmental signals that modulate RppA/RppB activity, relative contribution of each pathway component, and potential strain-to-strain variation in LPS modification efficiency are not well described.)"
PRM0005	584	s__Proteus mirabilis	none	-	-	-	-	-	-	-	-	nitrofurantoin	-	wildtype	R	not applicable	EUCAST Expected Resistant Phenotypes v1.2 (2023)	-	9791100	ECO:0001103 natural variation mutant evidence	high	-	"Intrinsic resistance mechanism resulting from the absence of functional nitroreductase genes (nfsA and nfsB) that are essential for nitrofurantoin activation. Unlike other Enterobacterales that require nfsA/nfsB to convert nitrofurantoin to toxic metabolites, P. mirabilis lacks these genes entirely, rendering the drug inactive. Clinical isolates consistently show 100% resistance with MICs >128 mg/L. This mechanism is well-established through clinical phenotyping and inference from mechanistic studies in other species. (Direct genomic confirmation of nitroreductase gene absence in P. mirabilis through comprehensive comparative genomics has not been explicitly published, representing a gap between established clinical phenotype and molecular characterization.)"
PRM0006	584	s__Proteus mirabilis	unknown	-	-	-	-	-	-	-	core	imipenem	-	wildtype	I	MIC <=4 mg/L	EUCAST v15.0 (2025)	-	8522463	ECO:0001103 natural variation mutant evidence	high	-	"Wildtype core mechanism involving altered penicillin-binding proteins and porin modifications that confer intrinsic reduced susceptibility to carbapenems. Key components include decreased PBP1a expression, reduced PBP2 affinity for imipenem, loss of major porins (37-40 kDa), and potential overexpression of ImpR (chitobiose porin homologue). These intrinsic mechanisms result in 2-8 fold increases in carbapenem MICs compared to other Enterobacteriaceae, though clinical resistance requiring additional acquired mechanisms. (The specific mutations or regulatory changes that lead to PBP alterations and the relative contribution of each resistance component in clinical isolates are not well described.)"
